Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
100929,Fabaceae,Inga edwallii (Harms) T.D.Penn.,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100929
100931,Fabaceae,Inga globularis T.D.Penn.,EN,2019,Não,https://dados.cncflora.jbrj.gov.br/ficha/100931
100932,Fabaceae,Inga lanceifolia Benth.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100932
100934,Fabaceae,Inga maritima Benth.,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100934
100935,Fabaceae,Inga mendoncaei Harms,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100935
100933,Fabaceae,Inga lenticellata Benth.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100933
100936,Fabaceae,Inga platyptera Benth.,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100936
100938,Fabaceae,Inga schinifolia Benth.,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/100938
100939,Fabaceae,Inga sellowiana Benth.,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100939
100941,Fabaceae,Mimosa balduinii Burkart,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100941
100937,Fabaceae,Inga praegnans T.D.Penn.,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100937
100942,Fabaceae,Mimosa bocainae Barneby,CR,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/100942
100944,Fabaceae,Mimosa catharinensis Burkart,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100944
100943,Fabaceae,Mimosa callidryas Barneby,EN,2021,Não,https://dados.cncflora.jbrj.gov.br/ficha/100943
100914,Fabaceae,Tachigali vulgaris L.G.Silva & H.C.Lima,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100914
100951,Fabaceae,Mimosa ernestii Harms,CR,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/100951
100956,Fabaceae,Mimosa glazioui Benth.,CR,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/100956
100958,Fabaceae,Mimosa involucrata Benth.,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100958
100945,Fabaceae,Mimosa chaetosphaera Barneby,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100945
100964,Fabaceae,Mimosa myuros Barneby,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/100964
100948,Fabaceae,Mimosa dryandroides Taub.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100948
100960,Fabaceae,Mimosa itatiaiensis Dusén,EN,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/100960
100972,Fabaceae,Mimosa psittacina Barneby,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100972
100973,Fabaceae,Mimosa ramentacea Burkart,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100973
100977,Fabaceae,Mimosa sanguinolenta Barneby,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100977
100978,Fabaceae,Mimosa scabrella Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100978
100974,Fabaceae,Mimosa ramosissima Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100974
100982,Fabaceae,Mimosa strobiliflora Burkart,CR,2019,Não,https://dados.cncflora.jbrj.gov.br/ficha/100982
100988,Fabaceae,Neptunia pubescens Benth.,VU,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/100988
10099,Monimiaceae,Mollinedia pachysandra Perkins,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10099
100965,Fabaceae,Mimosa oblonga Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100965
100995,Fabaceae,Pseudopiptadenia inaequalis (Benth.) Rauschert,NT,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100995
100981,Fabaceae,Mimosa sparsiformis Barneby,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100981
100996,Fabaceae,Pseudopiptadenia schumanniana (Taub.) G.P.Lewis & M.P.Lima,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/100996
101000,Fabaceae,Senegalia giganticarpa (G.P.Lewis) Seigler & Ebinger,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101000
10100,Monimiaceae,Mollinedia salicifolia Perkins,NT,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10100
